ID,Sentiment
2220,Positive
14590,Positive
11990,Positive
10036,Negative
8964,Positive
22386,Positive
21398,Positive
2460,Positive
21111,Positive
4739,Positive
2715,Positive
20375,Positive
1770,Negative
3584,Positive
1081,Positive
8301,Negative
20602,Positive
19276,Positive
23275,Positive
20723,Positive
4446,Positive
22116,Positive
3744,Positive
22139,Negative
5966,Positive
14783,Positive
13759,Positive
4694,Positive
11340,Positive
19394,Positive
10338,Negative
2036,Positive
6599,Negative
13839,Positive
9136,Positive
9884,Positive
15560,Positive
23199,Positive
140,Positive
2050,Positive
23375,Negative
8387,Positive
18969,Positive
21011,Positive
6210,Positive
13648,Positive
14420,Positive
22621,Positive
8854,Positive
17793,Positive
20611,Positive
19725,Positive
13243,Positive
4071,Positive
3242,Positive
4286,Positive
18037,Positive
1863,Positive
23037,Positive
18115,Positive
20727,Positive
889,Negative
10618,Positive
3885,Positive
15493,Positive
10421,Positive
11256,Positive
4288,Positive
8160,Positive
14104,Positive
13477,Positive
10266,Positive
10648,Positive
13829,Positive
22913,Positive
6412,Positive
18712,Positive
2091,Negative
5418,Positive
1310,Positive
12672,Positive
21063,Positive
9796,Positive
18877,Positive
15904,Positive
5650,Positive
6465,Negative
294,Positive
22179,Positive
19027,Positive
15307,Positive
16558,Negative
13752,Positive
22289,Negative
18779,Positive
18917,Positive
8033,Negative
6677,Positive
10554,Positive
12561,Positive
3829,Positive
21391,Positive
6548,Positive
17880,Positive
5955,Positive
18092,Positive
9575,Positive
9487,Positive
19065,Positive
5565,Positive
4987,Positive
22330,Positive
4490,Positive
17938,Positive
9404,Positive
18622,Negative
4803,Positive
6807,Positive
822,Positive
3120,Positive
18352,Positive
12666,Positive
19451,Positive
10380,Positive
16635,Positive
22138,Negative
2490,Positive
624,Positive
182,Positive
8911,Positive
8354,Positive
1834,Positive
8783,Negative
23461,Positive
5934,Positive
16926,Positive
22990,Negative
14011,Positive
22477,Positive
5619,Positive
20946,Positive
15328,Positive
3902,Positive
15764,Positive
12129,Positive
14506,Positive
9844,Positive
6856,Positive
2610,Positive
10273,Positive
11262,Positive
7913,Positive
11938,Positive
3030,Positive
4665,Positive
18089,Positive
11067,Positive
6867,Positive
1415,Positive
7398,Positive
1829,Positive
3310,Negative
8609,Positive
4509,Positive
7816,Positive
19242,Positive
11997,Positive
12864,Positive
20864,Positive
21960,Positive
8470,Positive
3862,Negative
2749,Positive
16058,Positive
16395,Negative
23474,Positive
16225,Positive
16620,Positive
21670,Positive
12142,Negative
9069,Negative
8310,Positive
9723,Positive
3669,Positive
12568,Positive
12879,Positive
2389,Negative
5981,Positive
17680,Positive
12594,Positive
14693,Positive
16301,Positive
2883,Positive
21038,Positive
1283,Positive
18546,Positive
16169,Positive
13985,Positive
16849,Positive
8497,Positive
17653,Positive
22847,Positive
6696,Negative
18894,Positive
14646,Positive
1040,Positive
13159,Positive
2115,Positive
1120,Positive
21462,Positive
5489,Positive
8917,Positive
15797,Negative
10685,Positive
10626,Positive
4877,Positive
22678,Positive
21836,Positive
18387,Negative
14373,Positive
15008,Positive
16036,Positive
8054,Positive
16645,Negative
23394,Positive
3262,Positive
11854,Positive
13932,Positive
22257,Positive
6993,Positive
18142,Positive
18112,Positive
15040,Positive
15396,Positive
1470,Negative
9240,Positive
21017,Positive
5474,Positive
17986,Positive
6061,Positive
14270,Positive
16729,Positive
10156,Positive
488,Positive
15906,Positive
18768,Negative
12470,Positive
2216,Positive
4269,Positive
1067,Positive
2198,Negative
1636,Positive
20391,Positive
3341,Positive
2052,Positive
4212,Positive
3847,Positive
21231,Positive
1444,Positive
14440,Positive
13361,Positive
20778,Positive
9054,Positive
15503,Positive
22049,Positive
4587,Positive
20488,Positive
22686,Negative
22069,Positive
14545,Positive
3689,Positive
22766,Positive
7216,Positive
10870,Positive
18548,Positive
13803,Positive
18809,Positive
3058,Positive
16629,Positive
20441,Positive
10060,Positive
18342,Positive
18757,Negative
22914,Positive
6644,Positive
5136,Positive
15444,Positive
1088,Positive
13082,Positive
10467,Positive
7321,Positive
21696,Positive
14386,Negative
6339,Positive
10057,Positive
15272,Negative
20906,Positive
15474,Negative
23150,Positive
12355,Positive
4516,Positive
1107,Positive
1244,Positive
615,Positive
17556,Positive
17959,Positive
4696,Positive
23293,Positive
3995,Positive
8860,Positive
4413,Positive
12729,Positive
23213,Positive
9225,Positive
19095,Positive
15790,Positive
22447,Negative
7133,Positive
15615,Positive
3624,Positive
22873,Negative
12785,Positive
2317,Positive
7920,Negative
19465,Positive
18196,Positive
14150,Positive
18659,Positive
11398,Positive
6589,Positive
10337,Positive
17701,Positive
11547,Positive
12300,Negative
6218,Positive
3568,Positive
19958,Negative
12458,Negative
18795,Negative
2566,Negative
9700,Positive
15446,Positive
14868,Positive
20921,Negative
4811,Positive
19333,Positive
1616,Negative
15959,Positive
9820,Positive
20671,Positive
11117,Negative
7698,Positive
10124,Positive
13459,Positive
14869,Positive
20389,Positive
15972,Positive
11164,Positive
3910,Positive
19559,Negative
17923,Positive
8600,Positive
365,Positive
17754,Positive
21869,Positive
20134,Positive
14120,Positive
6698,Positive
2629,Positive
1514,Positive
19250,Positive
22435,Positive
16384,Positive
13448,Positive
9318,Positive
22710,Negative
12388,Positive
1800,Positive
13363,Positive
1225,Positive
16511,Positive
3272,Positive
4478,Positive
8758,Negative
18773,Positive
11621,Positive
9988,Positive
15276,Positive
5193,Positive
6929,Positive
7544,Positive
9577,Positive
22249,Positive
1195,Positive
11617,Positive
12362,Positive
12274,Positive
22231,Positive
770,Positive
1783,Positive
22712,Positive
23027,Positive
15635,Negative
15715,Positive
6135,Positive
21317,Positive
22944,Positive
3148,Positive
129,Positive
13605,Negative
14627,Positive
13088,Positive
8190,Positive
22749,Negative
21876,Negative
1334,Negative
4295,Positive
303,Positive
18542,Positive
16411,Positive
4153,Positive
10119,Negative
6970,Positive
5127,Positive
18316,Positive
17354,Positive
22827,Positive
5868,Positive
18607,Positive
10297,Positive
15357,Positive
266,Positive
15740,Positive
1201,Positive
14575,Positive
18158,Positive
17339,Negative
13984,Negative
16780,Negative
7508,Positive
10881,Positive
5170,Positive
11038,Positive
4361,Positive
23014,Positive
9456,Positive
20451,Negative
15609,Negative
11526,Negative
18843,Positive
15745,Positive
5469,Positive
10370,Positive
20676,Negative
5026,Positive
1511,Positive
2831,Positive
13705,Positive
1087,Positive
8660,Positive
256,Positive
18469,Positive
15056,Positive
13371,Positive
23245,Positive
2136,Positive
12586,Positive
12852,Positive
15101,Positive
13327,Positive
14141,Positive
17897,Negative
5277,Positive
910,Positive
7004,Positive
3130,Positive
17390,Positive
23039,Positive
16565,Positive
8846,Positive
18811,Positive
7145,Positive
2563,Positive
17016,Positive
22360,Positive
6175,Positive
18237,Positive
3157,Positive
3991,Positive
18893,Positive
16976,Positive
21054,Negative
13728,Positive
13208,Positive
7519,Positive
17574,Positive
19257,Positive
1815,Positive
20362,Positive
1393,Positive
19455,Positive
3763,Positive
7301,Positive
14584,Positive
10866,Positive
18071,Positive
4130,Positive
3302,Positive
23097,Positive
8749,Negative
14548,Positive
1774,Positive
11356,Negative
6236,Positive
6264,Positive
18629,Negative
17362,Positive
7701,Positive
11027,Positive
18286,Positive
6536,Positive
8992,Positive
8906,Positive
16366,Positive
21984,Positive
22493,Negative
10612,Negative
20400,Positive
16088,Positive
16604,Positive
8885,Positive
4975,Positive
13317,Positive
5686,Positive
19510,Positive
8211,Positive
14858,Positive
18391,Positive
1549,Positive
10731,Positive
6172,Positive
12533,Positive
20531,Positive
22452,Positive
12611,Negative
20901,Negative
22804,Positive
6325,Positive
5096,Positive
3467,Positive
11512,Positive
9316,Positive
16338,Positive
2624,Positive
10308,Positive
4820,Positive
7053,Positive
887,Negative
20360,Positive
12179,Positive
22078,Positive
13945,Positive
12379,Positive
2123,Positive
3461,Positive
14255,Negative
10779,Negative
3692,Positive
17678,Negative
16697,Positive
4422,Positive
3794,Positive
18909,Positive
12628,Positive
1852,Positive
4440,Positive
3334,Positive
16279,Positive
3578,Positive
18783,Positive
18837,Positive
7797,Positive
11646,Positive
8873,Negative
18043,Positive
13687,Positive
16359,Positive
14268,Positive
20583,Positive
10369,Positive
19140,Negative
10390,Positive
4540,Positive
19617,Positive
2347,Positive
11486,Positive
6411,Positive
5267,Positive
4955,Positive
10803,Positive
12305,Negative
230,Positive
4775,Positive
18872,Positive
1870,Positive
12374,Positive
16324,Positive
616,Positive
10293,Positive
4188,Positive
12453,Positive
5927,Positive
20557,Positive
10471,Negative
20894,Positive
9434,Negative
22824,Negative
18015,Positive
4343,Positive
14002,Positive
479,Positive
5973,Positive
16407,Positive
10614,Positive
1810,Positive
10381,Positive
2560,Positive
23351,Positive
1194,Positive
8079,Positive
21413,Positive
8814,Positive
233,Positive
18985,Positive
6612,Positive
4973,Positive
8242,Positive
19133,Positive
19417,Positive
14279,Positive
17326,Positive
14999,Positive
21364,Positive
7046,Positive
3075,Positive
3036,Positive
19081,Positive
10837,Positive
13926,Positive
20575,Negative
16035,Positive
7861,Positive
8416,Positive
11280,Positive
23401,Positive
16774,Positive
16486,Positive
4976,Positive
13339,Positive
7889,Positive
13997,Positive
12007,Positive
21262,Positive
13867,Positive
4999,Positive
15399,Positive
1376,Negative
20736,Positive
15335,Positive
13394,Negative
5491,Negative
11176,Positive
17917,Positive
13778,Positive
18019,Positive
10250,Positive
22457,Positive
19301,Positive
6785,Positive
8826,Positive
3440,Positive
5631,Positive
18176,Positive
323,Positive
11808,Negative
19946,Negative
1950,Positive
3980,Negative
10898,Negative
4117,Positive
19926,Positive
1291,Positive
20478,Positive
20141,Positive
1267,Negative
4210,Positive
17820,Positive
2785,Positive
19765,Negative
10944,Positive
4734,Positive
19102,Positive
18380,Positive
18555,Positive
16243,Positive
20749,Positive
14234,Positive
133,Positive
18687,Positive
18599,Negative
10258,Positive
581,Negative
6387,Positive
8960,Negative
12648,Positive
13861,Positive
3945,Negative
8136,Positive
13231,Positive
6687,Positive
23457,Positive
11609,Positive
21185,Positive
1066,Positive
11430,Negative
10034,Positive
21739,Positive
22763,Positive
4642,Negative
20547,Positive
22395,Positive
13762,Positive
4842,Positive
19176,Positive
1882,Negative
3597,Positive
11455,Positive
7164,Positive
2421,Positive
1380,Positive
2795,Positive
1787,Positive
23437,Negative
22124,Positive
20819,Negative
6516,Negative
7602,Positive
11299,Positive
18858,Positive
8842,Positive
20185,Positive
1992,Positive
19537,Positive
10725,Negative
13042,Positive
18999,Positive
2058,Positive
5576,Positive
19073,Negative
10863,Positive
12737,Positive
12292,Positive
970,Positive
12240,Positive
16104,Negative
19975,Positive
1665,Negative
15254,Positive
13708,Negative
4552,Positive
4065,Positive
5873,Positive
22953,Positive
21613,Positive
23168,Positive
5055,Positive
22721,Positive
10257,Positive
15980,Positive
15030,Positive
279,Positive
21697,Positive
619,Positive
11354,Positive
1395,Positive
6545,Positive
18264,Positive
6005,Positive
18095,Positive
17264,Positive
13925,Negative
3536,Positive
6739,Positive
3001,Positive
12334,Positive
22170,Negative
22898,Positive
4652,Positive
3082,Positive
21667,Positive
8583,Positive
18623,Positive
11495,Positive
9151,Positive
18654,Positive
16298,Positive
4089,Positive
6257,Positive
18560,Positive
9481,Positive
563,Positive
3984,Positive
12442,Positive
21976,Negative
15731,Positive
4861,Negative
14208,Positive
11813,Positive
3925,Positive
12158,Negative
13949,Positive
5039,Positive
14139,Positive
22273,Positive
17693,Positive
6814,Positive
11418,Positive
14362,Positive
21596,Positive
3697,Positive
11852,Positive
1300,Negative
8658,Positive
772,Positive
8291,Positive
10586,Positive
22370,Positive
13491,Positive
17706,Positive
11552,Positive
8176,Positive
6111,Positive
17661,Positive
14377,Positive
1273,Negative
3167,Positive
22651,Positive
17392,Positive
8294,Positive
22703,Positive
11374,Positive
11748,Positive
21027,Positive
243,Positive
1785,Positive
1593,Positive
3281,Positive
18201,Positive
6152,Positive
3083,Positive
22949,Positive
11370,Positive
13565,Negative
16593,Positive
6629,Positive
14087,Positive
9038,Positive
10340,Positive
10270,Positive
21941,Positive
4669,Positive
8951,Negative
15303,Positive
19037,Positive
49,Positive
3166,Positive
17363,Negative
23383,Positive
21099,Positive
18699,Positive
13493,Positive
3930,Positive
9181,Positive
5420,Positive
20453,Positive
19987,Positive
6369,Positive
16371,Positive
9705,Positive
18709,Positive
13044,Positive
23448,Positive
20072,Positive
6743,Positive
5671,Positive
900,Positive
17059,Negative
1125,Positive
3318,Positive
21575,Positive
18442,Positive
21904,Positive
7715,Positive
6297,Positive
18068,Positive
15264,Positive
20582,Positive
16210,Positive
5186,Negative
3104,Positive
4036,Positive
8652,Positive
19043,Positive
5307,Positive
15058,Positive
13574,Positive
19312,Positive
6377,Positive
13170,Positive
21203,Positive
17689,Positive
16216,Positive
21407,Negative
1912,Positive
3029,Positive
12106,Positive
7413,Positive
2314,Positive
22685,Negative
20566,Negative
5879,Positive
11549,Positive
11816,Positive
18734,Positive
2847,Positive
17245,Negative
1083,Positive
1627,Positive
7822,Positive
19901,Negative
13061,Positive
11819,Positive
21731,Positive
22937,Negative
17518,Positive
4779,Positive
18010,Positive
15233,Positive
21085,Positive
4325,Positive
11343,Positive
11219,Positive
2386,Positive
19993,Positive
5223,Negative
5776,Positive
15428,Positive
2047,Positive
18736,Positive
23331,Positive
5953,Positive
8578,Positive
8710,Positive
20893,Negative
8507,Positive
11785,Positive
10469,Positive
4374,Positive
16181,Positive
20314,Positive
8635,Positive
413,Positive
10125,Positive
6543,Positive
14391,Positive
20151,Positive
9797,Positive
5328,Positive
20939,Positive
5080,Positive
607,Positive
3471,Positive
11268,Negative
15571,Positive
16591,Positive
9992,Positive
9792,Positive
9559,Positive
4648,Positive
17316,Positive
6539,Negative
1468,Positive
21370,Positive
21970,Positive
7885,Positive
6090,Positive
18749,Negative
11208,Positive
13775,Positive
15250,Positive
13789,Positive
8139,Positive
14550,Positive
7696,Positive
12679,Positive
14526,Positive
9946,Positive
7754,Positive
5110,Positive
17,Positive
3508,Positive
1368,Positive
3951,Positive
17696,Positive
11500,Positive
12950,Positive
8813,Positive
8727,Positive
9157,Positive
5835,Positive
3613,Positive
11503,Positive
10226,Positive
11511,Positive
192,Positive
12390,Positive
4657,Positive
17624,Positive
9572,Positive
9230,Positive
16137,Positive
1741,Positive
11261,Positive
14567,Positive
3753,Positive
3198,Positive
11407,Positive
15703,Positive
734,Positive
16911,Positive
21910,Positive
3122,Positive
19845,Positive
20231,Positive
15891,Positive
12522,Positive
11029,Positive
1628,Positive
7147,Positive
21705,Positive
22430,Negative
5542,Positive
11089,Positive
20143,Negative
14465,Positive
3882,Positive
10397,Positive
20254,Negative
2580,Positive
9951,Positive
20807,Positive
19462,Positive
23128,Positive
21790,Positive
509,Positive
20209,Positive
3659,Positive
9028,Positive
23058,Positive
13779,Positive
18704,Negative
4714,Positive
3770,Positive
3769,Positive
17581,Positive
1304,Positive
15447,Positive
22609,Positive
23287,Negative
23206,Positive
15304,Positive
21374,Positive
177,Positive
9067,Positive
11470,Positive
3473,Positive
7473,Negative
16827,Positive
6397,Positive
6489,Positive
19458,Negative
22987,Positive
23395,Positive
22425,Positive
14989,Negative
11275,Positive
22135,Positive
12641,Positive
20456,Positive
8292,Positive
12197,Positive
23281,Positive
9716,Positive
15260,Positive
18379,Positive
20495,Negative
18337,Negative
9325,Positive
2082,Positive
4039,Positive
1226,Positive
3676,Positive
6001,Positive
20806,Positive
2503,Negative
9877,Negative
13663,Negative
17114,Positive
18367,Negative
22765,Positive
2267,Positive
10716,Positive
12385,Negative
12510,Negative
13981,Negative
15967,Positive
4468,Positive
21531,Positive
510,Positive
7586,Positive
15063,Positive
656,Positive
3063,Positive
2433,Positive
16049,Positive
9105,Negative
17677,Positive
2440,Positive
22707,Positive
20114,Positive
6098,Positive
11561,Positive
6230,Positive
7789,Positive
19897,Positive
16028,Positive
14302,Positive
4646,Positive
15427,Positive
14350,Positive
143,Positive
3454,Positive
20153,Positive
23076,Positive
10763,Positive
9939,Positive
10864,Positive
11238,Positive
9582,Negative
10651,Positive
3290,Positive
2710,Positive
11513,Positive
13155,Positive
7470,Positive
4794,Positive
19622,Positive
17417,Positive
17664,Positive
20704,Positive
18728,Negative
6406,Positive
15759,Positive
16294,Positive
13242,Positive
13179,Positive
4275,Positive
3906,Positive
5017,Positive
17127,Positive
22142,Positive
13819,Positive
8832,Positive
19304,Negative
2448,Positive
11127,Positive
8892,Positive
440,Positive
7679,Positive
11420,Positive
16632,Positive
12933,Positive
12896,Positive
12958,Negative
11733,Positive
12805,Positive
16817,Positive
16211,Positive
1864,Positive
16826,Positive
3374,Positive
3727,Positive
17432,Positive
6512,Negative
20220,Positive
7585,Positive
4106,Positive
16745,Positive
14688,Positive
1915,Positive
355,Positive
16727,Negative
9643,Negative
9106,Positive
17241,Negative
880,Negative
11412,Positive
14162,Positive
12344,Positive
16351,Positive
17468,Negative
22844,Negative
11101,Positive
5326,Positive
5540,Negative
8717,Positive
10688,Positive
11031,Negative
2079,Positive
6266,Positive
18457,Positive
14230,Positive
3306,Positive
